,0
Customer_Age,-0.018203138532550702
Gender,0.03727169573136149
Dependent_count,-0.01899059631119378
Education_Level,-0.018637677396539966
Marital_Status,0.021972719639173202
Income_Category,0.005778003740782384
Card_Category,-0.0023535755024898844
Months_on_book,-0.013686851177909801
Total_Relationship_Count,0.15000522801913768
Months_Inactive_12_mon,-0.152448806326925
Contacts_Count_12_mon,-0.20449050998160465
Credit_Limit,0.023872994836161544
Total_Revolving_Bal,0.26305288312920366
Avg_Open_To_Buy,0.0002850774939378082
Total_Amt_Chng_Q4_Q1,0.1310628478144702
Total_Trans_Amt,0.16859838141007907
Total_Trans_Ct,0.3714027011889279
Total_Ct_Chng_Q4_Q1,0.29005400688089134
Avg_Utilization_Ratio,0.17841033156174696
